Volcano_Name;Country;Type;LAT;LON
Abu;Japan;Shield;34.50;131.60
Acamarachi;Chile;Stratovolcano;-23.30;-67.62
Acatenango;Guatemala;Stratovolcano;14.50;-90.88
Acigöl-Nevsehir;Turkey;Caldera;38.57;34.52
Adams;United States;Stratovolcano;46.21;-121.49
Adams Seamount;Pacific Ocean;Submarine;-25.37;-129.27
Adatara;Japan;Stratovolcano;37.64;140.29
Adwa;Ethiopia;Stratovolcano;10.08;40.84
Afder?;Ethiopia;Stratovolcano;13.08;40.85
Agrigan;Mariana Islands;Stratovolcano;18.77;145.67
Agua;Guatemala;Stratovolcano;14.47;-90.74
Agua de Pau;Portugal;Stratovolcano;37.77;-25.47
Aguilera;Chile;Stratovolcano;-50.33;-73.75
Agung;Indonesia;Stratovolcano;-8.34;115.51
Ahyi;Mariana Islands;Submarine;20.42;145.03
Akademia Nauk;Russia;Caldera;53.98;159.45
Akagi;Japan;Stratovolcano;36.56;139.20
Akan;Japan;Caldera;43.38;144.01
Akhtang;Russia;Shield;55.43;158.65
Akita Komagatake;Japan;Stratovolcano;39.76;140.80
Akita Yakeyama;Japan;Stratovolcano;39.96;140.76
Akuseki-jima;Japan;Stratovolcano;29.46;129.60
Akutan;United States;Stratovolcano;54.13;-165.99
Alaid;Russia;Stratovolcano;50.86;155.55
Alamagan;Mariana Islands;Stratovolcano;17.60;145.83
Alayta;Ethiopia;Shield;12.88;40.57
Alban Hills;Italy;Caldera;41.73;12.70
Alcedo;Galápagos Islands;Shield;-0.43;-91.12
Ale Bagu;Ethiopia;Stratovolcano;13.52;40.63
Alid;Eritrea;Stratovolcano;14.88;39.92
Ambrym;Vanuatu;Caldera, Shield;-16.25;168.12
Ambrym;Vanuatu;Caldera, Shield;-16.25;168.12
Anatahan;Mariana Islands;Stratovolcano;16.35;145.67
Aneityum;Vanuatu;Stratovolcano;-20.20;169.78
Aniakchak;United States;Caldera;56.88;-158.17
Antisana;Ecuador;Stratovolcano;-0.48;-78.14
Aoba;Vanuatu;Shield;-15.40;167.83
Ararat;Turkey;Stratovolcano;39.70;44.30
Arenal;Costa Rica;Stratovolcano;-84.70;-84.70
Arintica;Chile;Complex;-18.73;-69.05
Asacha;Russia;Stratovolcano;52.36;157.83
Asama;Japan;Complex;36.40;138.53
Ascensión;South Atlantic Ocean;Stratovolcano;-7.95;-14.37
Askja;Iceland;Stratovolcano;65.03;-16.75
Aso;Japan;Caldera;32.88;131.11
Atitlán;Guatemala;Complex;14.58;-91.19
Atka;United States;Caldera;52.38;-174.15
Atsonupuri;Russia;Stratovolcano;44.81;147.14
Augustine;United States;Lava dome;59.36;-153.43
Avachinsky;Russia;Stratovolcano;53.26;158.83
Awu;Indonesia;Stratovolcano;125.50;125.50
Axial Seamount;Pacific Ocean;Submarine;45.95;-130.00
Ayelu;Ethiopia;Stratovolcano;10.08;40.70
Azufre;Chile;Complex;-21.79;-68.24
Azuma;Japan;Stratovolcano;37.73;140.25
